plant,site,plot,trt,pair,acorn_source,year,rainfall,status,height,diam_base,dbh,neigh_height,neigh_diam_base,neigh_dbh,pdxpp
1,1,0,2,1,1,2003,42.11,1,14,,,,,,
1,1,0,2,1,1,2004,26.21,1,17,,,16,,,
1,1,0,2,1,1,2005,89.26,1,34,,,21,,,
1,1,0,2,1,1,2006,44.65,1,47,,,46,,,
1,1,0,2,1,1,2007,16.71,1,46,,,46,,,
1,1,0,2,1,1,2008,40.34,1,47,,,47,,,
1,1,0,2,1,1,2009,33.22,1,55,,,,,,
1,1,0,2,1,1,2010,54.05,1,61,,,,,,
1,1,0,2,1,1,2011,66.90,1,66,15,,55,14,,2.1
1,1,0,2,1,1,2012,30.20,1,88,17,,59,16,,2.8
1,1,0,2,1,1,2013,17.50,1,87,17,,57,13,,2.2
1,1,0,2,1,1,2014,20.12,1,89,21,,57,17,,2.00
1,1,0,2,1,1,2015,20.60,1,91,21,,64,20,,
1,1,0,2,1,1,2016,25.88,1,96,21,,104,23,,1.4
1,1,0,2,1,1,2017,51.21,1,138,23,,161,24,5,
1,1,0,2,1,1,2018,21.01,1,203,53,15,49,8,,
2,1,0,2,2,1,2003,42.11,1,13,,,10,,,
2,1,0,2,2,1,2004,26.21,1,24,,,9,,,
2,1,0,2,2,1,2005,89.26,1,32,,,24,,,
2,1,0,2,2,1,2006,44.65,1,45,,,38,,,
2,1,0,2,2,1,2007,16.71,1,43,,,38,,,
2,1,0,2,2,1,2008,40.34,1,45,,,38,,,
2,1,0,2,2,1,2009,33.22,1,48,,,,,,
2,1,0,2,2,1,2010,54.05,1,61,,,,,,
2,1,0,2,2,1,2011,66.90,1,71,14.8,,43,12.2,,2.15
2,1,0,2,2,1,2012,30.20,1,93,22,,42,15,,1.7
2,1,0,2,2,1,2013,17.50,1,100,22,,52,15,,1.1
2,1,0,2,2,1,2014,20.12,1,100,25,,49,15,,1.03
2,1,0,2,2,1,2015,20.60,1,102,27,,51,18,,2.8
2,1,0,2,2,1,2016,25.88,1,104,26,,50,19,,2.1
2,1,0,2,2,1,2017,51.21,1,105,26,,116,17,,
2,1,0,2,2,1,2018,21.01,1,106,32,,136,19,,
